
Sections:
Idx Name             Size     VMA              Type
  0 __text           00c04a28 0000000100002430 TEXT
  1 __stubs          000054e4 0000000100c06e58 TEXT
  2 __objc_stubs     0000d640 0000000100c0c340 TEXT
  3 __init_offsets   00000010 0000000100c19980 DATA
  4 __objc_methlist  0000a4d4 0000000100c19990 DATA
  5 __cstring        00068762 0000000100c23e70 DATA
  6 __const          0004c548 0000000100c8c5e0 DATA
  7 __constg_swiftt  0001232c 0000000100cd8b28 DATA
  8 __swift5_typeref 000c24cc 0000000100ceae54 DATA
  9 __swift5_builtin 000005f0 0000000100dad320 DATA
 10 __swift5_reflstr 00013b1e 0000000100dad910 DATA
 11 __swift5_fieldmd 00018e58 0000000100dc1430 DATA
 12 __swift5_assocty 000026d8 0000000100dda288 DATA
 13 __objc_methname  0001452f 0000000100ddc960 DATA
 14 __swift5_capture 0000f108 0000000100df0e90 DATA
 15 __swift5_proto   000026d8 0000000100dfff98 DATA
 16 __swift5_types   00001664 0000000100e02670 DATA
 17 __objc_classname 0000103e 0000000100e03cd4 DATA
 18 __objc_methtype  00002a9f 0000000100e04d12 DATA
 19 __swift_as_entry 00000e70 0000000100e077b4 DATA
 20 __swift5_mpenum  000004a4 0000000100e08624 DATA
 21 __swift5_entry   00000008 0000000100e08ac8 DATA
 22 __swift_as_ret   00000fd8 0000000100e08ad0 DATA
 23 __swift5_protos  00000024 0000000100e09aa8 DATA
 24 __oslogstring    00000085 0000000100e09ad0 DATA
 25 __gcc_except_tab 000023fc 0000000100e09b58 DATA
 26 __ustring        000000a6 0000000100e0bf54 DATA
 27 __vi_notice      00000688 0000000100e0bffa DATA
 28 __unwind_info    00020860 0000000100e0c684 DATA
 29 __eh_frame       000392c8 0000000100e2cee8 DATA
 30 __got            00006828 0000000100e68000 DATA
 31 __const          00047800 0000000100e6e828 DATA
 32 __cfstring       00008e80 0000000100eb6028 DATA
 33 __objc_classlist 00000ad0 0000000100ebeea8 DATA
 34 __objc_nlclslist 00000018 0000000100ebf978 DATA
 35 __objc_catlist   00000020 0000000100ebf990 DATA
 36 __objc_protolist 000001d8 0000000100ebf9b0 DATA
 37 __objc_imageinfo 00000008 0000000100ebfb88 DATA
 38 __objc_const     00025478 0000000100ec0000 DATA
 39 __objc_selrefs   000054c8 0000000100ee5478 DATA
 40 __objc_protorefs 000000f0 0000000100eea940 DATA
 41 __objc_classrefs 00000980 0000000100eeaa30 DATA
 42 __objc_superrefs 000002f0 0000000100eeb3b0 DATA
 43 __objc_ivar      000009a0 0000000100eeb6a0 DATA
 44 __objc_data      00009288 0000000100eec040 DATA
 45 __data           0003b9ea 0000000100ef52d0 DATA
 46 __s_async_hook   00000190 0000000100f30cc0 DATA
 47 __swift56_hooks  000000b0 0000000100f30e50 DATA
 48 __bss            000539f0 0000000100f30f00 BSS
 49 __common         00000af8 0000000100f848f0 BSS
